lu,freq,n_sense,LeeNamingAcc,LeeNamingRT
蓽,0,0,0.9,826
蔗,0,0,0.95,798
轆,0,0,0.8,798
謔,0,0,0.75,811
誆,0,0,1.0,825
誑,0,0,0.8,843
誕,0,0,0.85,727
誥,0,0,0.25,593
誹,0,0,0.9,841
謁,0,0,0.25,830
謙,0,0,0.9,769
詰,0,0,0.3,993
謨,0,0,1.0,828
謫,0,0,0.3,961
謬,0,0,0.8,825
謾,0,0,0.95,862
譁,0,0,0.95,766
譎,0,0,0.15,885
詼,0,0,0.95,825
詮,0,0,0.9,743
豁,0,0,0.7,692
訖,0,0,0.5,1004
覬,0,0,0.4,1023
觴,0,0,0.95,741
訃,0,0,0.4,952
訌,0,0,0.6,1046
訐,0,0,0.1,835
訕,0,0,0.9,814
訛,0,0,0.7,884
詭,0,0,0.9,703
訝,0,0,0.9,815
訾,0,0,0.3,882
詎,0,0,0.9,875
詒,0,0,0.4,889
詛,0,0,0.9,814
詣,0,0,0.5,1002
讜,0,0,0.9,872
豌,0,0,0.65,783
襬,0,0,0.9,749
躊,0,0,0.7,836
蹚,0,0,0.85,783
蹟,0,0,0.9,789
蹣,0,0,0.4,770
蹯,0,0,0.55,785
蹶,0,0,0.85,895
躂,0,0,0.35,803
躋,0,0,0.5,781
蹊,0,0,0.75,871
躡,0,0,0.7,770
軔,0,0,0.75,796
軛,0,0,0.85,772
軫,0,0,0.95,857
軻,0,0,0.85,863
軼,0,0,0.55,937
蹋,0,0,0.8,812
蹉,0,0,0.85,851
豢,0,0,0.1,805
贅,0,0,0.75,882
貊,0,0,0.7,839
貢,0,0,0.95,721
貯,0,2,0.45,866
賂,0,0,0.55,932
賅,0,0,0.15,1087
贄,0,0,0.4,968
贍,0,0,0.25,1010
蹂,0,0,0.9,784
趺,0,0,0.45,1065
跂,0,0,0.15,1089
跎,0,0,0.75,773
跚,0,0,0.9,787
踟,0,0,0.15,1022
踴,0,0,0.85,729
覦,0,0,0.6,936
襤,0,0,0.3,1141
蔚,0,4,0.75,685
蜊,0,0,1.0,746
蚵,0,0,0.8,751
蚶,0,0,0.15,1043
蛛,0,0,0.95,680
蛭,0,0,0.95,819
蜃,0,0,0.4,821
蜆,0,0,0.8,956
蜒,0,0,0.85,850
蚯,0,0,0.85,728
蜓,0,0,0.85,791
蜘,0,0,0.95,887
蜚,0,0,0.8,829
蜢,0,0,0.95,699
蜷,0,0,0.2,981
蜻,0,0,0.8,855
蚱,0,0,0.9,833
蚪,0,0,0.7,848
蝙,0,0,0.9,740
薺,0,0,0.1,716
蕙,0,0,0.95,670
蕪,0,3,0.9,761
薈,0,0,0.85,839
薏,0,0,0.9,816
薔,0,0,0.9,890
薯,0,0,1.0,806
藎,0,0,0.7,961
蚨,0,0,0.8,831
蘆,0,0,0.8,668
蘚,0,0,0.9,863
蘿,0,0,1.0,698
虔,0,0,0.9,816
蚋,0,0,0.2,1168
蚜,0,0,0.95,784
蝗,0,0,0.95,793
蝟,0,0,0.9,755
襠,0,0,0.8,733
裟,0,0,0.45,771
衽,0,0,0.9,913
衿,0,0,0.85,824
袈,0,0,0.7,893
袒,0,0,0.8,813
袱,0,0,0.9,757
裎,0,0,0.95,818
複,0,0,0.75,710
衢,0,0,0.35,859
褊,0,0,0.25,953
褓,0,0,0.8,719
褙,0,0,0.75,883
褫,0,0,0.15,1169
褶,0,0,0.9,820
褸,0,0,0.45,903
衷,0,0,0.9,769
衙,0,0,0.8,832
蝠,0,0,1.0,696
蟀,0,0,0.9,939
蝴,0,0,0.95,699
螂,0,0,1.0,742
螃,0,0,0.9,707
螞,0,0,0.9,709
螟,0,0,0.9,759
螳,0,0,1.0,694
蟠,0,0,0.65,954
蠣,0,0,1.0,723
蟯,0,0,0.85,787
蟾,0,0,0.5,817
蠋,0,0,0.8,787
蠐,0,0,0.4,928
蠔,0,1,0.95,730
蠡,0,0,0.05,985
岬,0,0,0.7,743
籟,0,0,0.9,703
岐,0,0,0.65,828
妝,0,2,0.9,639
漾,0,0,0.8,705
祚,0,0,0.45,823
顫,0,0,0.85,777
瀑,0,0,0.9,675
嗚,0,6,0.75,824
績,0,0,0.8,831
掠,0,0,0.9,819
托,0,12,1.0,675
園,0,4,0.85,650
迂,0,0,0.85,847
雛,0,0,0.9,700
植,0,8,0.95,711
馳,0,5,0.75,780
鬍,0,0,0.9,689
盟,0,0,0.9,659
駭,0,0,0.85,714
悔,0,2,0.85,730
物,0,6,0.95,615
矩,0,3,0.9,831
警,0,3,0.85,704
郊,0,1,0.85,674
諉,0,0,0.6,787
幛,0,0,0.9,846
遵,0,1,0.85,701
怔,0,2,0.75,835
摹,0,0,0.3,821
檐,0,0,0.2,1102
陂,0,0,0.3,884
擇,0,1,1.0,752
廬,0,0,0.8,720
忖,0,2,0.35,942
腋,0,0,0.95,795
肢,0,0,0.8,780
酌,0,0,0.7,859
孤,0,15,0.8,732
掬,0,0,0.9,902
貲,0,0,0.6,1019
摩,0,1,0.85,624
悱,0,0,0.85,881
駝,0,6,0.9,627
裙,0,0,1.0,766
褥,0,0,0.85,768
祠,0,0,0.35,767
坳,0,0,0.6,925
驅,0,9,0.9,834
蕩,0,13,1.0,663
聳,0,3,0.9,816
僵,0,0,0.85,648
矇,0,3,0.95,632
珠,0,6,0.95,702
瑟,0,0,0.9,781
唾,0,0,0.8,778
鐐,0,0,0.85,847
揖,0,3,0.3,834
旱,0,4,0.85,698
棧,0,0,0.9,837
軒,0,0,0.9,806
抬,0,6,0.85,641
驕,0,2,0.95,712
諍,0,0,0.95,995
綣,0,0,0.25,811
僚,0,0,0.8,749
惺,0,0,0.9,759
焰,0,2,0.9,755
喟,0,0,0.1,985
遢,0,0,0.95,752
唆,0,0,0.85,730
誓,0,0,1.0,794
祖,0,8,0.9,764
慈,0,5,0.95,740
伯,0,8,0.9,709
輓,0,0,0.8,824
憾,0,0,0.9,692
舷,0,0,0.15,834
刑,0,5,1.0,765
誌,0,0,0.95,691
務,0,4,0.95,675
脛,0,0,0.9,843
艷,0,0,0.85,741
秩,0,0,1.0,780
惻,0,0,1.0,728
窖,0,0,0.2,768
機,0,6,0.8,691
舖,0,1,0.95,733
芒,0,0,0.85,700
賦,0,7,0.95,704
浴,0,4,0.9,695
藐,0,0,0.85,743
芸,0,0,0.95,665
愚,0,4,0.8,724
梯,0,5,0.8,751
槐,0,0,0.3,818
榮,0,8,0.95,752
咋,0,0,0.2,1030
蜇,0,0,0.8,915
唏,0,0,0.8,736
緝,0,0,0.5,845
嗷,0,0,0.95,768
擂,0,0,0.9,766
饌,0,0,0.9,794
姿,0,4,0.9,709
輯,0,3,0.7,875
姝,0,0,0.45,977
裘,0,2,0.85,772
巒,0,0,0.85,787
麴,0,0,0.3,1036
鉅,0,3,0.95,743
儉,0,0,0.95,766
巔,0,0,1.0,706
奠,0,0,0.9,777
蜥,0,0,0.95,778
置,0,6,0.8,723
眛,0,0,0.95,818
軀,0,0,0.9,793
耙,0,3,0.7,960
圳,0,3,0.2,1200
缽,0,0,0.85,797
韻,0,0,0.95,686
軌,0,8,0.9,730
楨,0,0,0.95,724
鉗,0,0,0.85,869
墾,0,3,0.9,716
鞘,0,0,0.35,760
讖,0,0,0.05,1004
熾,0,2,0.2,890
膏,0,0,0.8,698
駒,0,3,0.55,844
侍,0,3,0.8,817
抒,0,0,0.8,897
瞻,0,0,0.85,757
邸,0,0,0.8,784
綻,0,0,0.85,809
鋤,0,0,0.8,829
嘻,0,1,0.85,703
寮,0,0,0.95,686
擎,0,0,0.8,887
鬃,0,0,0.55,921
栓,0,0,0.55,811
頌,0,6,0.95,762
凝,0,0,0.75,701
湄,0,0,0.9,778
繚,0,0,0.9,719
痕,0,0,0.9,708
洽,0,0,0.85,730
洋,0,5,0.85,638
概,0,0,0.8,820
館,0,7,0.9,637
裸,0,0,0.8,728
驀,0,0,0.05,1117
磕,0,0,0.85,775
犛,0,0,0.85,795
韜,0,0,0.7,1033
昨,0,2,0.9,701
睽,0,0,0.85,698
毆,0,0,0.95,783
艙,0,0,0.8,771
筊,0,0,0.6,962
沱,0,0,0.95,723
祛,0,0,0.4,928
彷,0,0,0.85,710
凋,0,0,0.9,855
揣,0,0,0.8,847
撼,0,0,0.95,813
愉,0,3,0.85,738
睨,0,0,0.85,918
鯊,0,2,0.8,707
蝸,0,0,0.35,851
迭,0,0,0.6,981
規,0,4,1.0,689
晌,0,0,0.2,880
婉,0,0,0.9,676
踵,0,0,0.8,703
敞,0,0,0.8,817
吶,0,8,1.0,710
輩,0,9,0.7,685
捩,0,0,0.05,843
紳,0,0,0.85,727
鍊,0,0,0.75,766
斧,0,0,1.0,669
政,0,4,0.9,709
匱,0,2,0.75,875
昧,0,0,0.7,845
燦,0,0,0.9,651
跺,0,0,0.85,793
聰,0,0,1.0,676
稼,0,0,0.8,879
宮,0,12,0.9,703
庇,0,0,0.45,954
愷,0,0,0.8,964
譬,0,0,0.9,731
疲,0,2,1.0,718
翅,0,4,0.95,774
姪,0,3,1.0,847
韁,0,1,0.85,796
踐,0,0,0.65,765
扉,0,0,0.85,745
殉,0,0,0.95,886
藪,0,0,0.5,966
姑,0,7,1.0,658
冽,0,0,0.7,740
桃,0,5,1.0,725
晞,0,0,0.75,814
冕,0,0,0.9,703
哨,0,0,0.65,831
佈,0,3,0.75,713
廊,0,2,0.95,643
糾,0,6,0.8,784
遁,0,0,0.8,709
籍,0,5,0.85,761
媒,0,0,1.0,688
苟,0,0,0.9,859
廂,0,0,0.8,798
阱,0,0,0.7,864
棚,0,1,1.0,630
斂,0,0,0.9,760
顱,0,0,0.9,745
眷,0,0,0.9,754
椅,0,1,0.8,741
鈔,0,4,0.9,756
殫,0,0,0.5,586
翼,0,5,1.0,740
鱗,0,3,0.95,673
歔,0,0,0.5,848
棺,0,0,0.95,762
綢,0,0,0.95,800
螯,0,0,0.8,757
迴,0,1,0.8,701
嗔,0,0,0.35,907
鬢,0,0,0.85,949
邁,0,7,0.8,687
詔,0,0,0.65,825
絀,0,0,0.15,1237
臀,0,2,0.8,715
征,0,0,0.95,705
玲,0,0,0.95,747
厘,0,0,0.8,768
婚,0,2,0.9,589
腦,0,6,0.95,598
齡,0,4,1.0,693
遑,0,0,0.75,689
恍,0,3,1.0,726
濱,0,0,0.95,881
愧,0,1,0.95,717
霹,0,0,0.9,709
村,0,5,1.0,620
障,0,3,0.85,699
憚,0,0,0.25,1043
寂,0,0,0.8,761
脂,0,4,1.0,799
樸,0,4,0.85,629
稗,0,0,0.3,866
錘,0,6,1.0,740
惰,0,0,0.95,777
抑,0,0,0.7,814
勳,0,0,0.95,811
嗜,0,2,0.95,859
猴,0,6,0.9,673
籐,0,0,1.0,665
疑,0,3,0.8,761
謹,0,2,0.9,741
辨,0,2,0.7,790
蒐,0,0,0.75,707
頸,0,2,0.9,747
髓,0,0,0.8,753
隸,0,0,0.95,754
阪,0,0,0.85,751
鉤,0,16,0.9,776
阻,0,4,0.9,749
匣,0,0,0.1,992
歧,0,0,0.85,825
犁,0,5,0.9,747
滋,0,8,0.75,718
綺,0,0,0.8,815
縈,0,0,0.85,838
翩,0,0,0.75,777
培,0,0,1.0,628
板,0,14,0.75,660
獃,0,0,0.1,790
霉,0,0,0.9,651
矜,0,0,0.75,790
懈,0,0,0.8,818
爺,0,8,0.9,683
讚,0,4,0.95,747
倩,0,0,0.9,763
燭,0,7,0.9,682
逕,0,0,0.85,833
痿,0,0,0.9,845
晤,0,0,0.8,698
嬉,0,0,0.8,764
閘,0,0,0.35,829
睛,0,0,0.25,711
蔽,0,0,0.65,844
嫂,0,0,0.85,760
皤,0,0,0.05,1088
纜,0,0,1.0,685
蹤,0,0,1.0,748
靶,0,0,0.8,801
檀,0,0,0.65,877
諳,0,0,0.75,818
妄,0,0,0.95,720
宅,0,4,0.7,777
謠,0,0,1.0,656
妹,0,4,0.75,675
航,0,9,0.9,732
偃,0,0,0.9,958
榻,0,0,0.85,769
判,0,8,0.95,648
泣,0,2,0.95,759
術,0,4,0.95,743
徊,0,0,0.2,733
唬,0,0,0.85,684
隋,0,3,0.65,998
漠,0,0,0.9,687
宵,0,2,0.9,744
笞,0,0,0.1,996
倫,0,3,0.95,663
靖,0,0,0.8,796
滲,0,2,0.8,827
藹,0,0,0.75,768
鑑,0,8,0.8,850
速,0,4,0.8,680
慰,0,2,0.75,696
詢,0,1,1.0,756
痘,0,0,0.9,654
狙,0,0,0.65,1009
錦,0,4,0.75,781
皈,0,0,0.45,994
莢,0,0,1.0,769
翔,0,0,0.85,754
勢,0,7,0.8,737
艱,0,2,1.0,769
聆,0,3,0.8,674
芳,0,4,0.95,684
愎,0,0,0.2,1164
逸,0,0,0.95,695
簿,0,0,0.9,771
仲,0,5,0.85,738
輟,0,0,0.85,896
澡,0,2,0.8,696
膺,0,0,0.4,802
慍,0,0,0.7,910
游,0,6,0.95,586
資,0,5,0.9,687
獷,0,0,0.25,706
諦,0,0,0.75,789
域,0,0,0.95,699
鬈,0,0,0.1,1101
役,0,10,0.75,719
漳,0,0,1.0,796
灼,0,0,0.8,768
袖,0,2,0.65,770
隱,0,7,0.85,645
鴉,0,2,0.9,746
蹩,0,0,0.8,975
唇,0,1,0.95,677
諄,0,0,0.55,953
基,0,6,0.8,668
璽,0,0,0.75,910
駱,0,1,0.85,800
箕,0,0,0.45,893
鐮,0,0,0.9,683
蘭,0,5,0.95,679
匈,0,0,1.0,837
簧,0,0,1.0,771
劇,0,4,0.95,652
倭,0,0,0.2,991
恪,0,2,0.05,1041
幣,0,0,0.8,701
殊,0,0,1.0,723
竭,0,0,0.9,863
捷,0,6,0.95,749
壇,0,0,0.9,665
瞋,0,0,0.4,977
津,0,0,0.85,709
眠,0,4,0.9,668
澇,0,0,0.95,823
製,0,4,0.95,721
宏,0,3,0.9,625
訣,0,0,0.95,802
匪,0,3,0.9,770
鋒,0,0,1.0,660
埤,0,0,0.15,964
莠,0,0,0.1,1128
湘,0,4,0.8,816
肇,0,0,0.75,774
砥,0,0,0.9,767
訊,0,0,0.8,733
睹,0,2,0.9,681
釵,0,0,0.55,825
喻,0,4,0.9,754
葦,0,0,1.0,781
訟,0,0,0.9,743
瀝,0,0,0.9,658
儒,0,0,0.75,672
瑩,0,0,0.85,725
洛,0,0,0.95,650
溯,0,0,0.15,903
詆,0,0,0.75,903
怠,0,0,0.9,738
諂,0,0,0.4,841
苞,0,0,0.7,699
悲,0,5,0.95,691
詠,0,0,0.85,648
桿,0,12,0.7,754
鷸,0,0,0.35,1161
緯,0,0,0.9,786
酬,0,0,0.95,789
翠,0,3,0.85,721
洩,0,5,0.95,807
挹,0,0,0.8,818
嗽,0,3,0.55,927
姐,0,4,0.9,729
騁,0,0,0.35,1090
萃,0,0,0.75,819
魄,0,3,0.9,696
廚,0,0,0.95,740
儆,0,0,0.8,886
寥,0,0,0.9,797
垢,0,4,0.8,756
橘,0,6,0.8,708
悟,0,2,0.9,702
棍,0,4,0.85,743
瑕,0,2,1.0,758
櫻,0,2,0.85,742
詬,0,0,0.8,882
祕,0,10,0.9,643
諾,0,0,0.8,745
侄,0,4,0.9,860
噹,0,2,0.9,769
輝,0,2,0.9,647
弩,0,0,0.95,739
鏘,0,0,0.55,877
澤,0,0,0.85,737
篷,0,0,0.75,727
襪,0,3,0.9,719
液,0,0,0.85,796
優,0,5,0.9,697
峭,0,0,0.6,830
汎,0,7,0.95,809
餵,0,4,0.95,590
閣,0,0,0.85,742
諫,0,0,0.45,835
泛,0,13,0.9,715
蜿,0,0,0.8,764
境,0,4,0.95,731
鶺,0,0,0.4,958
郵,0,5,0.95,743
町,0,0,0.3,912
婆,0,11,0.95,607
鏈,0,0,1.0,776
婢,0,0,0.55,942
漣,0,0,0.9,777
綱,0,0,0.95,710
茗,0,1,0.7,680
娼,0,0,0.85,692
穗,0,0,0.55,808
憐,0,0,0.75,631
瘠,0,0,0.75,938
律,0,8,0.9,679
曆,0,0,0.9,704
涂,0,1,0.7,865
凜,0,0,0.9,818
嚕,0,11,0.85,799
繹,0,0,0.9,853
蒼,0,3,0.9,648
鼾,0,0,0.9,794
迪,0,0,0.95,605
囑,0,0,0.9,860
吁,0,0,0.3,956
耀,0,3,0.95,682
悅,0,3,0.85,659
湔,0,0,0.1,967
庵,0,2,0.15,1053
週,0,1,1.0,687
嚮,0,0,0.95,780
歡,0,5,0.75,616
踞,0,0,0.85,824
鶯,0,0,0.85,765
智,0,4,0.9,735
偎,0,0,0.95,801
歆,0,0,0.9,941
塢,0,0,0.8,786
穫,0,0,0.9,633
殃,0,0,0.95,725
歷,0,6,0.95,613
迅,0,0,0.9,711
悍,0,0,0.8,647
枷,0,0,0.8,808
違,0,0,0.95,623
樽,0,0,0.85,796
炬,0,0,0.9,766
渝,0,0,0.9,709
証,0,5,0.9,715
讒,0,0,0.9,740
琢,0,0,0.8,802
徇,0,0,0.95,830
梵,0,0,0.85,802
餒,0,0,0.8,758
鍬,0,0,0.1,879
謗,0,0,0.9,855
晦,0,0,0.6,764
陵,0,0,0.95,712
陀,0,0,0.75,788
繩,0,2,0.9,776
漢,0,19,0.95,615
彆,0,0,0.5,958
肌,0,0,0.6,737
佑,0,0,0.95,668
沽,0,0,0.8,695
皖,0,3,0.85,784
塵,0,3,0.95,712
烽,0,2,0.85,675
僑,0,0,0.9,786
腹,0,10,0.95,722
糠,0,0,0.85,705
岌,0,0,0.9,726
歛,0,0,0.75,778
娛,0,3,0.8,740
堰,0,0,0.8,848
嘮,0,0,0.85,712
闡,0,0,0.5,997
財,0,1,0.95,714
究,0,2,0.8,715
厥,0,0,0.85,826
孩,0,3,0.75,664
堤,0,0,0.95,660
輔,0,0,0.9,704
兇,0,6,0.8,747
源,0,5,0.95,643
褐,0,3,0.8,893
述,0,1,0.75,795
檢,0,7,0.75,746
霞,0,2,0.9,746
驪,0,0,0.85,772
眺,0,0,0.65,834
襖,0,0,0.75,741
界,0,7,0.95,712
奢,0,0,0.95,769
誣,0,0,0.85,775
忿,0,0,0.85,851
研,0,5,0.95,703
瓷,0,4,0.85,740
琉,0,0,1.0,743
柑,0,0,0.75,810
材,0,10,0.9,641
誠,0,3,0.9,684
綾,0,0,0.9,700
憤,0,1,0.85,750
胯,0,0,0.85,786
俎,0,0,0.5,984
倪,0,1,0.85,744
倨,0,2,0.85,855
倥,0,0,0.95,893
倖,0,0,0.85,812
倌,0,0,0.85,870
倀,0,0,0.85,923
俵,0,0,0.95,731
俳,0,0,0.1,1235
俠,0,0,1.0,649
俚,0,0,0.85,803
俘,0,2,0.95,767
俑,0,0,0.75,839
俐,0,0,0.85,704
佻,0,0,0.5,782
懺,0,0,0.55,995
佚,0,0,0.75,863
伶,0,0,0.8,667
伕,0,0,0.95,767
伎,0,0,0.65,937
伉,0,0,0.75,853
仳,0,0,0.55,811
仃,0,0,0.8,899
賑,0,0,0.55,796
髮,0,1,0.85,720
蹈,0,0,0.6,763
噪,0,0,0.85,720
螢,0,1,0.9,668
曝,0,5,0.9,724
彩,0,10,1.0,653
履,0,0,0.8,860
艦,0,0,0.9,794
謊,0,2,0.95,643
殯,0,0,0.9,812
茁,0,0,1.0,799
襟,0,0,0.9,848
覷,0,0,0.85,884
彌,0,0,0.75,647
猷,0,0,0.75,780
廉,0,1,0.95,689
醇,0,0,0.85,803
侈,0,0,0.6,825
蕈,0,0,0.3,919
坦,0,0,0.9,674
贓,0,0,0.95,778
慎,0,0,0.85,782
戮,0,0,0.55,825
蒂,0,0,0.9,744
盪,0,12,0.95,740
酗,0,0,0.75,919
榴,0,0,0.85,699
厲,0,0,1.0,676
僕,0,0,0.95,667
涸,0,0,0.25,735
燥,0,0,0.85,811
峻,0,0,0.9,786
捨,0,5,0.95,733
疆,0,0,0.8,716
榆,0,0,0.9,846
勉,0,3,0.9,681
嵐,0,1,0.9,696
菊,0,2,0.85,721
暮,0,0,0.95,696
朗,0,9,1.0,646
睦,0,0,0.55,816
蹻,0,0,0.85,789
穠,0,0,0.85,811
惶,0,0,0.95,716
蕨,0,0,0.95,835
陌,0,0,0.9,656
輿,0,0,0.75,859
濘,0,0,0.8,800
決,0,5,0.85,673
疹,0,1,0.85,727
褪,0,8,0.85,707
搆,0,0,0.85,811
影,0,11,0.85,678
捲,0,10,0.95,670
慷,0,0,0.8,833
醉,0,11,1.0,705
庭,0,3,0.9,614
哲,0,2,0.9,698
佃,0,0,0.55,910
弛,0,3,0.8,778
拘,0,2,0.75,798
怵,0,0,0.5,995
掄,0,3,0.9,778
銘,0,0,0.8,633
楫,0,0,0.35,905
侮,0,0,0.65,847
體,0,15,0.95,602
趣,0,4,0.9,681
禍,0,3,0.95,631
岳,0,2,0.9,720
偉,0,6,0.9,693
偌,0,0,0.75,771
偵,0,0,0.85,708
傖,0,0,0.6,820
姘,0,0,0.4,759
姒,0,0,0.7,916
姆,0,0,0.9,619
妯,0,0,0.45,900
妮,0,0,0.9,578
妤,0,0,0.65,766
妣,0,0,0.05,909
妍,0,0,1.0,700
妊,0,0,0.9,866
奎,0,0,0.9,714
壤,0,0,0.8,790
壟,0,0,0.8,753
墩,0,0,0.85,820
墦,0,0,0.3,1306
墟,0,0,0.9,811
墉,0,0,0.9,738
墀,0,0,0.1,866
塾,0,0,0.65,906
堝,0,0,0.25,935
堀,0,0,0.8,838
埸,0,0,0.35,1072
埴,0,0,0.75,846
埕,0,0,0.95,788
埃,0,0,0.9,821
埂,0,0,0.95,768
垓,0,0,0.25,873
垃,0,0,0.75,719
坵,0,0,1.0,762
圯,0,0,0.35,1103
姣,0,0,0.8,863
姻,0,0,0.8,784
娌,0,0,0.75,794
嬋,0,0,0.9,869
屹,0,0,0.8,849
尷,0,0,0.4,743
尬,0,2,0.8,762
寞,0,0,0.9,702
宸,0,0,0.9,881
宙,0,0,0.65,698
孿,0,0,0.75,714
孺,0,0,0.8,751
孳,0,0,0.8,983
孜,0,0,0.75,806
嬪,0,0,0.35,801
嬗,0,0,0.45,1028
嬖,0,0,0.15,1277
嫡,0,0,0.95,844
娑,0,0,0.75,791
嫚,0,0,0.9,793
嫗,0,0,0.4,922
媾,0,0,0.9,934
媼,0,0,0.1,947
媧,0,0,0.5,865
婷,0,0,0.95,689
婕,0,0,0.95,785
婊,0,0,0.8,719
娩,0,0,0.4,919
娥,0,0,0.95,762
娣,0,0,0.1,1103
娠,0,0,0.45,937
娟,0,0,0.95,757
圮,0,0,0.05,899
圊,0,0,0.4,910
圇,0,0,1.0,935
冶,0,0,0.4,891
匏,0,0,0.75,910
匍,0,0,0.7,739
勵,0,2,1.0,631
勃,0,2,0.9,700
劾,0,0,0.4,963
劭,0,0,0.8,839
劊,0,0,0.95,832
剽,0,0,0.75,875
剴,0,0,0.5,971
剡,0,0,0.35,662
剌,0,0,0.05,1055
刎,0,0,0.45,833
凰,0,0,0.7,718
兢,0,0,0.75,852
叡,0,0,0.7,761
儻,0,0,0.4,951
儷,0,0,0.95,834
儡,0,0,0.85,706
儕,0,0,0.25,1193
儔,0,0,0.5,770
儐,0,0,0.95,804
儈,0,0,0.6,759
儀,0,8,0.8,748
僻,0,0,0.75,731
僭,0,0,0.1,970
僥,0,0,0.2,877
僂,0,0,0.45,753
傢,0,0,0.85,830
匐,0,0,0.5,829
吩,0,0,0.85,856
圃,0,0,0.7,845
啻,0,0,0.25,959
囹,0,0,0.9,876
囫,0,0,0.15,977
嚨,0,0,0.95,717
嚅,0,0,0.55,871
嚀,0,0,0.85,745
噤,0,0,0.9,803
嘹,0,0,0.85,781
嘵,0,0,0.55,949
嘈,0,0,0.85,890
嗩,0,0,0.8,966
喋,0,0,0.9,688
喈,0,0,0.65,937
啾,0,0,0.85,822
啷,0,0,0.9,796
呻,0,0,0.95,782
啤,0,0,0.9,757
啡,0,0,0.95,801
啖,0,4,0.6,932
啕,0,0,0.7,775
唳,0,0,0.7,909
唪,0,0,0.7,951
哆,0,0,0.8,885
咩,0,0,0.45,827
咖,0,0,0.45,920
咐,0,0,0.95,737
咆,0,0,0.9,811
咄,0,0,0.5,920
咀,0,0,0.6,892
續,0,5,0.75,766
隍,0,0,0.85,743
捍,0,0,0.65,773
屑,0,4,0.55,743
穀,0,4,0.6,744
垠,0,0,0.35,849
凳,0,1,0.9,768
諤,0,0,0.9,793
杆,0,11,0.85,770
炫,0,0,0.8,766
殲,0,0,0.5,898
瑜,0,3,1.0,650
垣,0,0,0.35,807
醬,0,0,0.95,708
悖,0,0,0.35,752
愿,0,0,0.9,852
蜂,0,2,0.95,681
禧,0,2,0.7,839
迨,0,2,0.35,1078
樞,0,0,0.6,949
懇,0,0,0.85,665
侶,0,1,0.85,748
壕,0,0,0.9,773
磋,0,0,0.8,815
蕉,0,4,1.0,649
鈀,0,0,0.65,817
楠,0,0,0.9,650
緒,0,0,0.9,732
醮,0,0,0.35,941
諺,0,0,0.85,782
釐,0,0,0.9,844
歎,0,0,0.9,718
謅,0,0,0.6,798
塑,0,0,0.2,802
諱,0,3,0.4,751
牴,0,3,0.85,827
溢,0,0,0.7,830
鞠,0,0,0.8,838
擾,0,0,1.0,717
寨,0,0,0.85,861
池,0,6,1.0,759
銳,0,6,1.0,710
腐,0,5,0.95,703
耽,0,0,0.75,806
乳,0,4,1.0,607
癖,0,1,0.9,618
擒,0,0,0.9,712
阮,0,7,0.65,817
歉,0,0,0.9,726
佇,0,0,0.6,893
技,0,4,0.9,740
涎,0,3,0.2,867
榜,0,0,0.85,777
紹,0,0,0.85,829
諢,0,0,0.1,691
堡,0,0,0.85,716
隧,0,0,0.75,783
瑤,0,0,0.85,607
礙,0,2,0.8,738
摀,0,0,0.7,806
鯤,0,0,0.95,802
額,0,5,0.9,685
篆,0,0,0.6,926
註,0,2,0.95,675
鸝,0,1,0.8,888
曉,0,4,0.95,775
迫,0,3,1.0,679
遼,0,6,0.9,670
翌,0,0,0.6,792
沼,0,0,0.85,826
遨,0,0,0.65,866
膳,0,0,0.85,793
矗,0,0,0.5,1005
適,0,6,0.95,783
璧,0,3,0.9,667
沸,0,0,0.8,860
苔,0,2,0.95,715
轂,0,0,0.6,1212
症,0,3,0.95,725
憎,0,0,0.9,869
淒,0,0,0.8,735
掖,0,0,0.45,879
邇,0,0,0.7,836
殆,0,4,0.65,764
宇,0,0,0.9,672
岔,0,6,0.8,730
峒,0,0,0.8,804
瓠,0,0,0.4,864
晨,0,1,0.95,756
構,0,5,0.9,669
腑,0,0,0.85,817
址,0,3,0.7,738
黛,0,0,0.9,689
悌,0,0,0.9,747
蠅,0,0,0.8,862
弊,0,2,0.8,689
仞,0,1,0.95,783
篤,0,0,0.9,759
彰,0,0,0.85,698
蹙,0,0,0.45,899
肆,0,4,0.9,762
職,0,0,0.95,736
怡,0,0,0.9,779
紓,0,0,0.7,1016
阡,0,0,0.95,805
阨,0,0,1.0,792
寰,0,0,0.95,844
袍,0,1,0.95,640
渺,0,0,0.8,665
捫,0,0,0.9,867
罪,0,5,0.95,704
峽,0,2,0.8,763
泳,0,0,1.0,630
努,0,0,0.75,635
慣,0,4,1.0,675
疚,0,0,0.95,812
昂,0,4,0.85,682
絡,0,0,0.9,732
緬,0,0,1.0,723
曬,0,5,0.9,796
潛,0,0,0.95,825
禱,0,0,0.65,859
瀕,0,3,0.3,731
蕭,0,3,0.9,789
誦,0,0,0.55,923
濡,0,0,0.85,797
蝶,0,4,0.95,731
漿,0,0,0.9,777
颳,0,2,0.85,727
掩,0,7,0.8,637
揹,0,3,0.95,794
幟,0,2,0.9,908
幘,0,0,0.4,950
暑,0,3,0.75,731
麋,0,0,0.7,815
甌,0,0,0.55,794
閨,0,0,0.9,753
廈,0,4,1.0,750
綮,0,0,0.15,866
遐,0,0,1.0,798
諭,0,0,1.0,744
踰,0,0,0.95,743
綬,0,0,0.9,866
湍,0,0,0.1,694
